Date, Close/Last, Volume, Open, High, Low
7/17/20,"$1,500.84 ",9329972,"$1,513.45 ","$1,537.51 ","$1,490 "
7/16/20,"$1,500.64 ",14300790,"$1,477.16 ","$1,531.71 ","$1,466 "
7/15/20,"$1,546.01 ",16367830,"$1,543 ","$1,550 ","$1,457 "
7/14/20,"$1,516.80 ",23418140,"$1,556 ","$1,590 ","$1,431 "
7/13/20,"$1,497.06 ",38985360,"$1,659 ","$1,794.99 ","$1,471.11 "
7/10/20,"$1,544.65 ",23337550,"$1,396 ","$1,548.92 ","$1,376.01 "
7/9/20,"$1,394.28 ",11717600,"$1,396.99 ","$1,408.56 ","$1,351.28 "
7/8/20,"$1,365.88 ",16311310,"$1,405 ","$1,417.26 ","$1,311.34 "
7/7/20,"$1,389.86 ",21489660,"$1,405.01 ","$1,429.50 ","$1,336.71 "
7/6/20,"$1,371.58 ",20569860,"$1,276.69 ","$1,377.79 ","$1,266.04 "
7/2/20,"$1,208.66 ",17250120,"$1,221.48 ","$1,228 ","$1,185.60 "
7/1/20,"$1,119.63 ",13326900,"$1,083 ","$1,135.33 ","$1,080.50 "
6/30/20,"$1,079.81 ",16918500,"$1,006.50 ","$1,087.69 ","$1,003.73 "
6/29/20,"$1,009.35 ",9026404,$969.01 ,"$1,010 ",$948.52 
6/26/20,$959.74 ,8854908,$994.78 ,$995 ,$954.87 
6/25/20,$985.98 ,9254549,$954.27 ,$985.98 ,$937.15 
6/24/20,$960.85 ,10959590,$994.11 ,"$1,000.88 ",$953.14 
6/23/20,"$1,001.78 ",6365271,$998.88 ,"$1,012 ",$994.01 
6/22/20,$994.32 ,6362350,$999.95 ,"$1,008.88 ",$990.02 
6/19/20,"$1,000.90 ",8679749,"$1,012.78 ","$1,015.97 ",$991.34 
6/18/20,"$1,003.96 ",9751936,"$1,003 ","$1,019.20 ",$994.47 
6/17/20,$991.79 ,9890800,$987.71 ,"$1,005 ",$982.57 
6/16/20,$982.13 ,14051080,"$1,011.85 ","$1,012.88 ",$962.39 
6/15/20,$990.90 ,15697180,$917.79 ,$998.84 ,$908.50 
6/12/20,$935.28 ,16763370,$980 ,$987.98 ,$912.60 
6/11/20,$972.84 ,15916480,$990.20 ,"$1,018.96 ",$972 
6/10/20,"$1,025.05 ",18563410,$991.88 ,"$1,027.48 ",$982.50 
6/9/20,$940.67 ,11388150,$940.01 ,$954.44 ,$923.93 
6/8/20,$949.92 ,14174730,$919 ,$950 ,$909.16 
6/5/20,$885.66 ,7811917,$877.84 ,$886.52 ,$866.20 
6/4/20,$864.38 ,8887713,$889.88 ,$895.75 ,$858.44 
6/3/20,$882.96 ,7949469,$888.12 ,$897.94 ,$880.10 
6/2/20,$881.56 ,13565600,$894.70 ,$908.66 ,$871 
6/1/20,$898.10 ,15085300,$858 ,$899 ,$854.10 
5/29/20,$835 ,11812490,$808.75 ,$835 ,$804.21 
5/28/20,$805.81 ,7275774,$813.51 ,$824.75 ,$801.69 
5/27/20,$820.23 ,11549530,$820.86 ,$827.71 ,$785 
5/26/20,$818.87 ,8089736,$834.50 ,$834.60 ,$815.71 
5/22/20,$816.88 ,9987475,$822.17 ,$831.78 ,$812 
5/21/20,$827.60 ,12254580,$816 ,$832.50 ,$796 
5/20/20,$815.56 ,7309271,$820.50 ,$826 ,$811.80 
5/19/20,$808.01 ,9636522,$815.17 ,$822.07 ,$806.08 
5/18/20,$813.63 ,11698100,$827.78 ,$834.72 ,$803.88 
5/15/20,$799.17 ,10518430,$790.35 ,$805.05 ,$786.55 
5/14/20,$803.33 ,13682190,$780 ,$803.36 ,$764 
5/13/20,$790.96 ,19065490,$820.83 ,$826 ,$763.30 
5/12/20,$809.41 ,15906910,$827 ,$843.29 ,$808 
5/11/20,$811.29 ,16519600,$790.51 ,$824 ,$785 
5/8/20,$819.42 ,16130090,$793.77 ,$824 ,$787.01 
5/7/20,$780.04 ,11527690,$777.21 ,$796.40 ,$772.35 
5/6/20,$782.58 ,11123230,$776.50 ,$789.80 ,$761.11 
5/5/20,$768.21 ,16991660,$789.79 ,$798.92 ,$762.18 
5/4/20,$761.19 ,19237090,$701 ,$762 ,$698 
5/1/20,$701.32 ,32531810,$755 ,$772.77 ,$683.04 
4/30/20,$781.88 ,28471850,$855.19 ,$869.82 ,$763.50 
4/29/20,$800.51 ,16215980,$790.17 ,$803.20 ,$783.16 
4/28/20,$769.12 ,15221960,$795.64 ,$805 ,$756.69 
4/27/20,$798.75 ,20681440,$737.61 ,$799.49 ,$735 
4/24/20,$725.15 ,13237610,$710.81 ,$730.73 ,$698.18 
4/23/20,$705.63 ,13236700,$727.60 ,$734 ,$703.13 
4/22/20,$732.11 ,14224830,$703.98 ,$734 ,$688.71 
4/21/20,$686.72 ,20209090,$730.12 ,$753.33 ,$673.79 
4/20/20,$746.36 ,14746370,$732.70 ,$765.57 ,$712.21 
4/17/20,$753.89 ,13128230,$772.28 ,$774.95 ,$747.66 
4/16/20,$745.21 ,20657860,$716.94 ,$759.45 ,$706.72 
4/15/20,$729.83 ,23577000,$742 ,$753.13 ,$710 
4/14/20,$709.89 ,30576510,$698.97 ,$741.88 ,$692.43 
4/13/20,$650.95 ,22475420,$590.16 ,$652 ,$580.53 
4/9/20,$573 ,13650000,$562.09 ,$575.18 ,$557.11 
4/8/20,$548.84 ,12656020,$554.20 ,$557.21 ,$533.33 
4/7/20,$545.45 ,17919780,$545 ,$565 ,$532.34 
4/6/20,$516.24 ,14901840,$511.20 ,$521 ,$497.96 
4/3/20,$480.01 ,22562080,$509.50 ,$515.49 ,$468.39 
